epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2172,0,22.7233,0,0,0,0,0,0,23.0648,0,0,0,0
2,9.88589,0,22.7081,0,0,0,0,0,0,23.0826,0,1.802e-05,1.802e-05,1.802e-05
3,13.8825,0,22.6398,0,0,0,0,0,0,23.1005,0,3.208e-05,3.208e-05,3.208e-05
4,18.5848,0,22.4243,0,0,0,0,0,0,23.1157,0,4.218e-05,4.218e-05,4.218e-05
5,22.4224,0,22.31,0,0,0,0,0,0,23.1241,0,4.832e-05,4.832e-05,4.832e-05
6,26.0314,0,22.1801,0,0,0,0,0,0,23.1286,0,5.05e-05,5.05e-05,5.05e-05
7,29.4348,0,22.1018,0,0,0,0,0,0,23.1308,0,4.872e-05,4.872e-05,4.872e-05
8,32.9433,0,21.9591,0,0,0,0,0,0,23.1306,0,4.298e-05,4.298e-05,4.298e-05
9,36.4527,0,21.9076,0,0,0,0,0,0,23.1317,0,3.328e-05,3.328e-05,3.328e-05
10,39.8324,0,21.8395,0,0,0,0,0,0,23.1359,0,1.962e-05,1.962e-05,1.962e-05
